Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Товстоліс,Святослав,Володимирович,Чоловіча,2004-07-02,Громадський діяч,село Луцьк,"вулиця Опішнянський, буд. 232, Керч, 21929",+380 96 765-03-70,andriiavramchuk@example.org
Алексеєнко,Остап,Дмитрович,Чоловіча,1987-07-16,Кінолог,хутір Баранівка,"узвіз Байгородський, буд. 263, Джанкой, 26651",+380 (11) 148-02-22,olifirenkoiefrem@example.net
Охримович,Єфрем,Іванович,Чоловіча,2006-07-10,Геофізик,село Хотин,"вулиця Івана Вазова, буд. 68 кв. 39, Кропивницький, 01934",+380 (98) 285-56-35,lfastenko@example.net
Мазур,Зиновій,Богданович,Чоловіча,1943-12-04,Програміст,селище Красногорівка,"шосе Ветеранів праці, буд. 668 кв. 121, Решетилівка, 16410",624-34-86,spascharnysh@example.com
Комар,Єфрем,Іванович,Чоловіча,1963-08-06,Педагог,селище Костопіль,"узвіз Миколи Пильчикова, буд. 63 кв. 03, Чоп, 24839",032 004 49 95,viktoriiahavrylets@example.net
Онуфрієнко,Гліб,Дмитрович,Чоловіча,1956-11-26,Модельєр,хутір Одеса,"узвіз Приморський, буд. 882, Новоград-Волинський, 12946",+380 53 230-83-38,bvelychko@example.org
Заїка,Зорян,Андрійович,Чоловіча,1965-04-18,Актор,місто Остер,"площа Анатолія Бачинського, буд. 724 кв. 170, Шаргород, 99996",415 33 47,klavrenko@example.com
Вдовенко,Данило,Олександрович,Чоловіча,1940-07-06,Географ,хутір Дубровиця,"парк Савицький, буд. 894 кв. 4, Суми, 41346",+380 (59) 055-02-27,elubenets@example.net
Колісниченко,Валерій,Іванович,Чоловіча,1979-05-15,Модельєр,місто П'ятихатки,"проспект Грузовий, буд. 0, Бахмут, 75387",601 43 14,eduard42@example.org
Андрощук,Михайло,Олександрович,Чоловіча,2003-11-29,Паралегал,село Федорівка,"проспект Чумацька, буд. 579 кв. 415, Міусинськ, 75629",360 56 18,dskyrda@example.org
Ващенко,Федір,Іванович,Чоловіча,1941-07-27,Педагог,село Моршин,"шосе Локомотивний 1-й, буд. 8, Хмельницький, 55890",356-04-77,allaatamanchuk@example.net
Девдюк,Вʼячеслав,Андрійович,Чоловіча,1971-12-07,Філолог,місто Христинівка,"шосе Бориса Кифоренка, буд. 558 кв. 668, Покров, 51602",+380 32 957-31-42,klyment39@example.org
Конопленко,Ярема,Богданович,Чоловіча,1946-11-17,Мистецтвознавець,хутір Сорокине,"площа Лиманчик 2-й Лінія 4-та, буд. 776 кв. 81, Монастирище, 83619",+380 (57) 287-13-08,edyta46@example.org
Чекалюк,Альберт,Дмитрович,Чоловіча,1987-05-10,Гірничий інженер,селище Тростянець,"площа Дорожня, буд. 4, Добропілля, 79581",038 106-13-00,stefan50@example.net
Деревʼянко,Ігнат,Петрович,Чоловіча,1960-06-20,Намотувальник,хутір Бурштин,"вулиця Поштова, буд. 853, Курахове, 98271",+380 15 809-95-77,szharko@example.com
Абрамчук,Руслан,Петрович,Чоловіча,1954-03-03,Підприємець,хутір Гайворон,"провулок Раїси Сергієнко, буд. 38, Самар, 68836",814-01-64,spasvasylevych@example.net
Шаповал,Онисим,Дмитрович,Чоловіча,1964-02-19,Продюсер,село Зеленодольськ,"сквер Виноградний, буд. 3 кв. 620, Звенигородка, 98643",+380 (29) 440-52-81,danchenkoarkadii@example.net
Ґалаґан,Венедикт,Сергійович,Чоловіча,1947-11-05,Публіцист,місто Скадовськ,"узвіз Рибальська, буд. 0 кв. 5, Щастя, 21607",009-29-90,svitlana06@example.com
Гузій,Адам,Петрович,Чоловіча,1960-11-10,Каскадер,село Прилуки,"шосе Новоукраїнський, буд. 7 кв. 320, Коростишів, 92578",+380 40 761-09-04,iarynabakumenko@example.com
Дутка,Богдан,Дмитрович,Чоловіча,1970-09-22,Професор,селище Гадяч,"провулок Лінія 52-га, буд. 263, Мелітополь, 06069",004 737 69 02,qliashko@example.com
Дробʼязко,Омелян,Андрійович,Чоловіча,1968-10-05,Хімік,місто Глобине,"сквер Бузковий, буд. 897, Голубівка, 62562",215 87 67,martymyshyna@example.org
Лаба,Леонід,Петрович,Чоловіча,1986-10-11,Євнух,селище Тернопіль,"набережна Житомирський 4-й, буд. 0 кв. 265, Долина, 11155",+380 12 737-31-72,ivan23@example.net
Андрусенко,Ярослав,Сергійович,Чоловіча,1946-06-26,Дантист,хутір Луцьк,"узвіз Ювілейний 1-й, буд. 6 кв. 787, Новий Буг, 80605",080 035-33-13,tymofiiriabchenko@example.net
Андрощук,Григорій,Дмитрович,Чоловіча,1959-03-22,Мистецтвознавець,село Прилуки,"набережна Зої Пасічної, буд. 375 кв. 219, Андрушівка, 52681",494-63-58,iashchenkoieva@example.net
Лесик,Орест,Михайлович,Чоловіча,2005-03-06,Флорист,село Сокологірськ,"провулок Карантинний узвіз, буд. 758 кв. 23, Стебник, 24879",+380 83 251-14-53,omelian89@example.com
Щербань,Владислав,Володимирович,Чоловіча,1940-12-25,Інженер,місто Одеса,"проспект Ланжеронівська, буд. 014, Рудки, 74283",+380 76 963-92-36,oksana34@example.com
Нестеренко,Теодор,Юрійович,Чоловіча,1970-09-17,Економіст,місто Армянськ,"сквер Довга, буд. 6 кв. 364, Камінь-Каширський, 42539",745-24-15,fromanets@example.net
Микитюк,Прохір,Сергійович,Чоловіча,1959-02-06,Акушер,хутір Селидове,"парк Москеті, буд. 7 кв. 7, Сміла, 47719",+380 29 640 47 34,tetianaokhrymovych@example.net
Худобʼяк,Ростислав,Юрійович,Чоловіча,1953-10-27,Диригент,місто Благовіщенське,"проспект Мостовий, буд. 31 кв. 4, Світловодськ, 86499",004 880 28 31,albina91@example.net
Кармалюк,Степан,Юрійович,Чоловіча,1958-07-10,Футболіст,селище Саки,"провулок Острозька, буд. 359 кв. 50, Моршин, 39284",+380 (38) 917-87-90,yiaremchuk@example.net
Забашта,Микита,Андрійович,Чоловіча,1999-03-07,Няня,селище Белз,"парк Почаївська, буд. 0 кв. 8, Буськ, 80528",640-98-89,aperebyinis@example.net
Стус,Дан,Дмитрович,Чоловіча,1998-02-20,Ювелір,селище Южноукраїнськ,"вулиця Кришталевий, буд. 2 кв. 29, Арциз, 63179",681 09 35,zhurbademian@example.com
Єфименко,Климент,Андрійович,Чоловіча,1955-03-17,Епідеміолог,селище Обухів,"сквер Ф. Пішеніна, буд. 4, Щастя, 56883",008-36-69,bohuslav00@example.org
Жайворон,Орест,Сергійович,Чоловіча,1992-05-05,Слідчий,село Новий Калинів,"площа Айвазовського, буд. 98 кв. 492, Бориспіль, 31138",021 820-53-03,herman15@example.org
Шведченко,Семен,Дмитрович,Чоловіча,1982-12-29,Пекар,місто Новоград-Волинський,"площа Санаторний, буд. 446 кв. 18, Теплодар, 40303",+380 94 106-84-78,irena50@example.org
Овчаренко,Ігнат,Богданович,Чоловіча,2006-04-23,Живописець,хутір Шостка,"набережна Картамишевська, буд. 281, Токмак, 93402",+380 13 771-37-83,bohodargereta@example.com
Рева,Панас,Богданович,Чоловіча,2002-07-25,Водій,місто Ланівці,"провулок Василя Капніста, буд. 63 кв. 8, Кам'янка-Бузька, 81719",+380 91 159-48-05,parmen15@example.org
Матяш,Пилип,Сергійович,Чоловіча,1940-09-17,Громадський діяч,місто Василівка,"площа Оранжерейний, буд. 765 кв. 599, Дрогобич, 62122",041 566-79-68,lizakovpak@example.net
Вівчаренко,Ігнат,Андрійович,Чоловіча,1964-04-15,Футболіст,село Гнівань,"набережна Академіка Корольова, буд. 5 кв. 3, Кременець, 91862",+380 20 309 30 76,shchorsviktor@example.net
Дергач,Пармен,Петрович,Чоловіча,2002-01-25,Золотар,місто Волочиськ,"площа Чорноморський 3-й, буд. 9, Збараж, 24084",+380 98 490-09-14,vzhaivoron@example.org
Голик,Нестор,Андрійович,Чоловіча,1967-10-11,Живописець,місто Верхівцеве,"вулиця Килимова, буд. 387, Перевальськ, 18256",+380 11 020 08 47,smakohon@example.org
Конопленко,Геннадій,Петрович,Чоловіча,2008-09-02,Кінокритик,хутір Білопілля,"провулок Генуезька, буд. 229, Чорнобиль, 45754",021 587-21-59,boleslavzaruba@example.com
Баштан,Лесь,Андрійович,Чоловіча,1963-10-31,Конструктор,село Павлоград,"вулиця Бориса Едуардса, буд. 946 кв. 4, Вилкове, 94461",+380 (33) 084-43-11,danylokabaliuk@example.com
Швачко,Тимофій,Дмитрович,Чоловіча,1985-01-30,Електрослюсар,хутір Новоазовськ,"набережна Юннатів 1-й, буд. 44 кв. 97, Славута, 35125",057 878-01-20,leonidartymyshyna@example.org
Даньків,Ярема,Юрійович,Чоловіча,2008-09-10,Реабілітолог,селище Лиман,"проспект Коцюбинського, буд. 43, Молочанськ, 26097",070 940 97 89,nandriiovych@example.com
Ванченко,Аарон,Іванович,Чоловіча,1944-02-04,Няня,селище Нововолинськ,"узвіз Аеродромний 2-й, буд. 899, Кагарлик, 70980",+380 (18) 778-59-09,voblyimyron@example.org
Яремко,Ростислав,Володимирович,Чоловіча,1986-08-03,Кур'єр,село Гребінка,"вулиця Патріотична, буд. 68 кв. 26, Самар, 56559",+380 30 569-11-43,karkhymovych@example.net
Щербак,Болеслав,Володимирович,Чоловіча,1969-04-03,Ріелтор,хутір Радомишль,"провулок Верхня, буд. 5 кв. 988, Севастополь, 96402",+380 44 914 05 74,irenaartymyshyn@example.net
Алексюк,Варфоломій,Петрович,Чоловіча,1949-10-30,Штукатур,селище Березне,"узвіз Леся Курбаса, буд. 9 кв. 8, Сарни, 01170",005 407-51-37,roman53@example.net
Баранник,Франц,Сергійович,Чоловіча,1996-04-26,Клоун,селище Шпола,"шосе Новиков міст, буд. 113, Мирноград, 57734",013 58 91,myroslav63@example.com
Бандура,Ігор,Петрович,Чоловіча,2002-04-29,Ріелтор,селище Корсунь-Шевченківський,"сквер Аеропортівський 3-й, буд. 4, Лозова, 82484",+380 83 440-68-13,izhaktereza@example.com
Журба,Олександр,Богданович,Чоловіча,1998-01-22,Слідчий,місто Зоринськ,"вулиця Василя Кандинського 1-й, буд. 02 кв. 203, Черкаси, 93353",+380 54 432-24-62,nadiiavlasenko@example.net
Гавришкевич,Борис,Володимирович,Чоловіча,1978-03-17,Програміст,місто Чугуїв,"шосе Лиманчик 2-й Лінія 4-та, буд. 52, Бахмут, 68752",+380 (07) 885-85-93,spas37@example.net
Жук,Азар,Михайлович,Чоловіча,1996-11-06,Клоун,селище Новоукраїнка,"узвіз Костанді 3-й, буд. 859, Ківерці, 38141",080 051-13-21,oryna37@example.org
Єрошенко,Богодар,Михайлович,Чоловіча,2001-01-13,Пекар,хутір Козятин,"набережна Трояндова, буд. 41, Помічна, 40930",723-90-54,babakvalerii@example.com
Дзиндра,Аркадій,Андрійович,Чоловіча,1951-12-28,Бібліограф,селище Армянськ,"площа Костанді, буд. 403, Благовіщенське, 77978",+380 70 852 41 37,khomachubai@example.net
Ящук,Ярослав,Юрійович,Чоловіча,1964-09-03,Намотувальник,місто Ланівці,"вулиця Світлий, буд. 017, Тернопіль, 77546",+380 44 899 50 97,herman14@example.net
Бабʼюк,Панас,Андрійович,Чоловіча,1964-03-31,Модельєр,селище Подільськ,"узвіз Садова 6-та, буд. 24 кв. 0, Звенигородка, 27131",403-76-82,yartiukh@example.org
Гаврилець,Аарон,Юрійович,Чоловіча,1948-02-19,Педагог,хутір Хорол,"набережна Бориса Нечерди, буд. 9 кв. 141, Радехів, 84772",451-60-10,bshynkarenko@example.net
Вітрук,Зорян,Дмитрович,Чоловіча,1984-02-14,Клоун,місто Буськ,"провулок Наявний 7-й, буд. 4, Козятин, 07247",+380 46 174-40-95,andriichukamaliia@example.net
Стельмах,Ростислав,Володимирович,Чоловіча,1948-03-24,Фрілансер,село Покровськ,"вулиця Кедровий, буд. 4, Тернопіль, 42683",054 839-07-35,vertyporokhmykhailyna@example.org
Дейнеко,Дмитро,Богданович,Чоловіча,1955-03-12,Громадський діяч,селище Шаргород,"вулиця Миколи Бурачека, буд. 00, Кипуче, 03419",076 104-81-72,ihor71@example.org
Хомик,Лукʼян,Михайлович,Чоловіча,2001-02-26,Ґрунтознавець,хутір Вознесенівка,"набережна Садова 1-ша, буд. 00, Новогродівка, 61423",074-47-67,dzhunoryna@example.com
Щорс,Єфрем,Богданович,Чоловіча,1955-08-25,Соціолог,місто П'ятихатки,"проспект Львівський, буд. 7 кв. 13, Новий Калинів, 93507",046 241 24 76,violetta97@example.com
Негода,Ігор,Олександрович,Чоловіча,1984-01-22,Бізнесмен,хутір Федорівка,"парк Морська, буд. 4 кв. 6, Хоростків, 15329",+380 59 593 11 87,alinakhudiak@example.net
Терещенко,Юстим,Петрович,Чоловіча,1984-06-17,Живописець,хутір Волноваха,"парк Головна, буд. 11 кв. 28, Прилуки, 77987",988-51-83,ukaras@example.com
Назаренко,Аркадій,Сергійович,Чоловіча,1973-07-02,Публіцист,хутір Ірпінь,"набережна Молокова, буд. 2, Умань, 15272",+380 30 243-80-12,ieva47@example.net
Вернидуб,Вʼячеслав,Олександрович,Чоловіча,1999-10-23,Електрослюсар,селище Кремінна,"провулок Дур'янівський, буд. 794 кв. 50, Болград, 74884",+380 29 279-43-79,kostiantynsatsiuk@example.com
Данилюк,Юхим,Богданович,Чоловіча,1938-11-17,Паблік рилейшнз,хутір Судова Вишня,"узвіз Городня, буд. 995 кв. 65, Іллінці, 36067",+380 98 361 99 73,larysa97@example.net
Чміль,Панас,Богданович,Чоловіча,1977-12-28,Фотограф,хутір Миколаївка,"вулиця Старобазарний, буд. 87, Куп'янськ, 08709",+380 20 248-01-00,zbezborodko@example.org
Свириденко,Хома,Богданович,Чоловіча,1977-12-27,Шериф,селище Герца,"узвіз Затишна, буд. 92, Рубіжне, 78615",+380 11 263 54 67,leontii18@example.net
Семенченко,Нестор,Михайлович,Чоловіча,1968-12-06,Дантист,селище Глобине,"вулиця Північна, буд. 183, Бережани, 20602",086 122 31 55,vivcharenkooleksandr@example.com
Яременко,Хома,Михайлович,Чоловіча,1985-10-02,Акушер,хутір Міусинськ,"набережна Луганська, буд. 0 кв. 54, Луганськ, 36122",755 41 16,milenavlokh@example.com
Засядько,Теодор,Дмитрович,Чоловіча,1972-09-16,Музикант,село Ананьїв,"площа Краснослобідська, буд. 49, Прилуки, 49117",032-98-55,jkolodub@example.org
Деревʼянко,Леонід,Андрійович,Чоловіча,1994-11-30,Сценарист,місто Верхівцеве,"вулиця Олександра Ройтбурда, буд. 357 кв. 00, Нетішин, 81060",643-93-93,kopytkostefan@example.net
Петрик,Данило,Олександрович,Чоловіча,1986-10-25,Паблік рилейшнз,селище Кам'янець-Подільський,"набережна Хімічний 2-й, буд. 864, Лутугине, 54088",037 678 53 35,gkylymnyk@example.com
Вишняк,Ростислав,Дмитрович,Чоловіча,1972-02-15,Конструктор,місто Мар'їнка,"шосе Усатівська, буд. 0 кв. 5, Долинська, 07489",+380 40 389-26-06,lesprokopovych@example.net
Конопленко,Захар,Богданович,Чоловіча,1955-05-31,Геолог,село Горішні Плавні,"проспект Моторний 3-й, буд. 263 кв. 8, Гнівань, 82996",015 543-79-83,jzaichenko@example.net
Удовиченко,Ярослав,Михайлович,Чоловіча,1998-08-16,Кінорежисер,місто Ізяслав,"парк Станційна 1-ша, буд. 18, Родинське, 34543",+380 25 109 89 02,shabliivenedykt@example.com
Щербак,Гліб,Михайлович,Чоловіча,1957-11-02,Перекладач,місто Узин,"площа Рельєфна, буд. 271 кв. 6, Косів, 74721",888-93-12,oleksa26@example.org
Лемешко,Панас,Олександрович,Чоловіча,1954-12-04,Астрофізик,село Городня,"шосе Сергія Ядова, буд. 6 кв. 815, Коломия, 95223",+380 40 759 28 92,anastasiiateslia@example.net
Кибкало,Вʼячеслав,Володимирович,Чоловіча,1959-04-08,Фрілансер,селище Українка,"проспект Військово-морських сил, буд. 71, Моршин, 62509",774 96 65,mykyta35@example.org
Бевз,Франц,Олександрович,Чоловіча,1951-05-18,Історик,село Гребінка,"сквер Айвазовського, буд. 49 кв. 679, Красноперекопськ, 87509",553-63-52,oksana06@example.com
Деревʼянко,Хома,Іванович,Чоловіча,1954-10-30,Електрослюсар,місто Шумськ,"парк Владислава Домбровського, буд. 32 кв. 9, Хирів, 60746",+380 30 797-70-61,vernydubsviatoslava@example.org
Ємець,Лесь,Михайлович,Чоловіча,2003-03-02,Електромонтер,селище Знам'янка,"провулок Аптекарський, буд. 945 кв. 164, Перевальськ, 67542",032-95-77,rkorolenko@example.net
Вернидуб,Франц,Богданович,Чоловіча,2002-08-23,Акушер,хутір Решетилівка,"парк Педагогічна, буд. 3, Олевськ, 43115",+380 87 424 55 58,teslialevko@example.com
Жученко,Азар,Володимирович,Чоловіча,1950-04-04,Дерун,хутір Боково-Хрустальне,"набережна В’ячеслава Чорновола, буд. 431, Добропілля, 70656",+380 46 428-73-50,spas29@example.org
Бакуменко,Йосип,Олександрович,Чоловіча,1939-03-31,Археолог,місто Шептицький,"проспект Довженка, буд. 16, Кривий Ріг, 96895",+380 29 380-30-52,levkopavlychenko@example.com
Сацюк,Мартин,Андрійович,Чоловіча,1968-01-08,Хореограф,село Валки,"парк Наявний 7-й, буд. 527 кв. 10, Хорол, 02087",+380 (89) 095-88-31,vtkachenko@example.org
Смик,Єфрем,Олександрович,Чоловіча,1956-02-09,Модель,село Зіньків,"узвіз Колекційна, буд. 57, Болехів, 26691",800 39 29,skopenkopanas@example.com
Непорожній,Пантелеймон,Богданович,Чоловіча,1959-04-28,Конструктор,місто Старий Крим,"узвіз Уральська, буд. 29 кв. 6, Олександрівськ, 12569",+380 27 009-97-95,ychervonenko@example.org
Талан,Богуслав,Петрович,Чоловіча,1949-01-14,Водій,хутір Рудки,"парк Лузанівка, буд. 00, Дергачі, 86074",824 65 70,omykhailiuk@example.net
Бевз,Адам,Володимирович,Чоловіча,2007-11-01,Драматург,село Ківерці,"вулиця Довженка, буд. 5 кв. 5, Валки, 45513",648 22 88,vdovenkoiustym@example.com
Затула,Іван,Юрійович,Чоловіча,1965-07-28,Льотчик,хутір Донецьк,"сквер Ніжинська, буд. 63, Яворів, 07511",+380 26 982 81 23,fedir14@example.org
Жученко,Григорій,Володимирович,Чоловіча,2002-02-03,Гірник,хутір Василівка,"узвіз Рельєфна, буд. 2, Золоте, 28536",+380 55 844-57-50,vdovenkoieva@example.org
Алексюк,Миколай,Богданович,Чоловіча,1988-10-07,Психолог,село Зіньків,"сквер Економічний, буд. 46, Снігурівка, 78324",030 015-79-48,asaulaokhrim@example.com
Гайдамака,Теодор,Олександрович,Чоловіча,1995-11-08,Гірник,хутір Жидачів,"вулиця Кодимський, буд. 472 кв. 52, Балаклія, 53004",+380 10 236-35-22,mykyta04@example.org
Редько,Амвросій,Олександрович,Чоловіча,2002-10-01,Золотар,селище Бориспіль,"узвіз Марка Крейна, буд. 7, Отаманівка, 72264",+380 05 891-68-50,petrenkopanas@example.org
Чала,Соломон,Михайлович,Чоловіча,2005-10-11,Письменник,місто Шумськ,"шосе Одарія, буд. 1 кв. 632, Заводське, 41076",988-60-82,symonbazylevskyi@example.com
Щербань,Яків,Іванович,Чоловіча,1999-02-06,Паралегал,хутір Докучаєвськ,"провулок Олександра Станкова, буд. 04 кв. 712, Шахтарське, 24367",+380 20 371-62-84,babiisvitlana@example.com
Даньків,Тарас,Михайлович,Чоловіча,1981-06-20,Громадський діяч,село Луганськ,"узвіз Центральна, буд. 598 кв. 54, Макіївка, 93989",094 033 82 33,aleksiukmykyta@example.org
Тарасенко,Данило,Михайлович,Чоловіча,1946-09-15,Фізик,селище Гірське,"парк Жаботинського, буд. 4 кв. 8, Алушта, 89509",+380 63 724-18-08,valentynarebryk@example.com
Гречаник,Гаврило,Сергійович,Чоловіча,1970-11-14,Краєзнавець,місто Шостка,"провулок Трамвайний, буд. 3, Жовква, 16920",241-19-97,albinakarmaliuk@example.com
Батіг,Дмитро,Іванович,Чоловіча,1963-07-23,Намотувальник,село Хмільник,"площа Восьмого березня, буд. 9 кв. 34, Середина-Буда, 43359",093 799-92-94,marusia71@example.net
Безбородько,Ярослав,Володимирович,Чоловіча,1947-04-26,Астрофізик,хутір Моспине,"провулок Матроський узвіз, буд. 4, Святогірськ, 64993",+380 80 039-17-16,konoplenkoiakiv@example.net
Захарченко,Ілля,Сергійович,Чоловіча,2001-10-27,Інженер,село Здолбунів,"вулиця Володі Дубініна, буд. 1 кв. 828, Герца, 96100",267 20 27,maksym10@example.org
Василашко,Богодар,Сергійович,Чоловіча,1944-06-09,Диригент,хутір Сімферополь,"провулок Віталія Нестеренка, буд. 736, Корюківка, 75377",+380 11 080 95 37,ishchenkoiaryna@example.net
Запорожець,Богдан,Петрович,Чоловіча,1976-07-25,Кінокритик,селище Васильків,"узвіз Амбулаторний, буд. 24, Сміла, 25575",125-02-79,karpaielysaveta@example.net
Іщенко,Вʼячеслав,Богданович,Чоловіча,1939-06-24,Стоматолог,хутір Кальміуське,"узвіз Дур'янівський, буд. 6 кв. 31, Ямпіль, 85115",+380 95 978-80-90,fbalaban@example.org
Ващенко-Захарченко,Микита,Іванович,Чоловіча,1947-12-31,Професор,місто Ізюм,"сквер Педагогічний, буд. 03, Кролевець, 58009",+380 81 101-53-64,cderehus@example.com
Деревʼянко,Мирослав,Володимирович,Чоловіча,1977-06-28,Правник,село Боково-Хрустальне,"проспект Пшенична, буд. 1, Вуглегірськ, 20493",+380 11 430-94-70,lysenkodan@example.net
Асаула,Петро,Андрійович,Чоловіча,2005-11-09,Різноробочий,селище Мар'їнка,"набережна Амбулаторна, буд. 666, Ладижин, 92559",030-24-52,iaroslaviarosh@example.com
Артеменко,Опанас,Богданович,Чоловіча,1939-12-26,Історик,селище Златопіль,"узвіз 2-га Лінія Марії Демченко, буд. 791, Борзна, 08987",072 652 82 46,teodor44@example.org
Усик,Назар,Петрович,Чоловіча,1980-07-23,Журналіст,місто Виноградів,"шосе Прирейкова, буд. 817, Світловодськ, 18164",040 988 08 49,vladyslav33@example.net
Баран,Аарон,Володимирович,Чоловіча,1964-09-08,Філолог,хутір Новоазовськ,"парк Нерубайська, буд. 866, Яготин, 18219",+380 (53) 562-62-02,lazarenkomykolai@example.org
Лубенець,Леонтій,Юрійович,Чоловіча,1959-01-18,Співак,селище Збараж,"парк Рачкова, буд. 10, Лозова, 68142",004 009 27 31,demyd85@example.org
Демʼянюк,Тарас,Володимирович,Чоловіча,1994-12-09,Стропальник,селище Богодухів,"набережна Аграрна, буд. 76 кв. 630, Овруч, 65617",395 11 12,arkhymovychmykhailyna@example.org
Опанасенко,Євген,Володимирович,Чоловіча,1948-06-23,Історик,хутір Горохів,"шосе Євгена Крамаренка, буд. 6, Яготин, 09821",+380 (01) 322-81-65,oleksandr36@example.org
Медведенко,Богуслав,Володимирович,Чоловіча,1983-08-20,Кушнір,село Докучаєвськ,"парк Мусіна, буд. 9 кв. 506, Апостолове, 84178",+380 52 875 33 12,ielysavetanalyvaiko@example.net
Чумак,Владислав,Юрійович,Чоловіча,2004-05-19,Ювелір,місто Городок,"провулок Кришталева, буд. 101, Сорокине, 75041",010 737 31 93,htymchenko@example.net
